TEAM,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Boston Celtics,64,18,0.78,48.4,120.6,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,11.9,6.8,6.6,16.2,11.3
Denver Nuggets,57,25,0.695,48.1,114.9,44,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,12.6,7.1,5.6,18.2,5.3
Oklahoma City Thunder,57,25,0.695,48.3,120.1,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42,27.1,12.7,8.5,6.6,18.8,7.4
Minnesota Timberwolves,56,26,0.683,48.3,113,41.3,85,48.5,12.6,32.7,38.7,17.8,22.9,77.7,9.4,34.2,43.6,26.6,14.2,7.9,6.1,18.8,6.5
LA Clippers,51,31,0.622,48.1,115.6,42.4,86.7,48.9,12.6,33.2,38.1,18.3,22.2,82.5,10,32.9,43,25.6,13.1,7.8,5,18.5,3.3
Dallas Mavericks,50,32,0.61,48.1,117.9,43.1,89.7,48.1,14.6,39.5,36.9,17,22.5,75.8,9.7,33.2,42.9,25.7,12.5,6.9,5,18.3,2.2
New York Knicks,50,32,0.61,48.1,112.8,41.3,88.7,46.5,13.2,35.8,36.9,17,21.8,78,12.7,32.5,45.2,24.4,13.2,7.5,4.1,17.6,4.6
Milwaukee Bucks,49,33,0.598,48.3,119,43.1,88.5,48.7,14.2,38.1,37.3,18.5,23.9,77.4,9.4,34.8,44.2,26.5,12.9,6.8,5,19.2,2.6
New Orleans Pelicans,49,33,0.598,48.1,115.1,42.5,87.4,48.6,12.5,32.6,38.3,17.6,22.8,77.1,10.4,33.6,44,27,13,8.3,4.6,18.4,4.4
Phoenix Suns,49,33,0.598,48.2,116.2,42.5,86.1,49.3,12.4,32.6,38.2,18.9,23.4,80.8,10.1,33.9,44.1,27,14.9,7.4,6,18,3.1
Cleveland Cavaliers,48,34,0.585,48.3,112.6,41.8,87.2,47.9,13.5,36.8,36.7,15.6,20.4,76.5,9.9,33.4,43.3,28,13.6,7.4,4.6,17.5,2.4
Indiana Pacers,47,35,0.573,48.1,123.3,47,92.7,50.7,13.2,35.3,37.4,16.1,20.5,78.2,10.1,31.4,41.5,30.8,12.9,7.7,5.9,21.4,3
Los Angeles Lakers,47,35,0.573,48.4,118,43.7,87.5,49.9,11.8,31.4,37.7,18.9,24.2,78.2,8.2,34.9,43.1,28.5,14,7.4,5.5,15.6,0.6
Orlando Magic,47,35,0.573,48.2,110.5,40.5,84.9,47.6,11,31.3,35.2,18.5,24.4,75.9,10.5,31.8,42.3,24.7,14.7,8.2,5.2,19.7,2
Philadelphia 76ers,47,35,0.573,48.2,114.6,41.5,89.4,46.4,12.1,33.3,36.3,19.5,23.6,82.6,11,31.9,43,24.9,12,8.5,6,20.3,3
Golden State Warriors,46,36,0.561,48.4,117.8,43.7,91.6,47.7,14.8,38.9,38,15.6,20,78,12.1,34.6,46.7,29.3,14.3,7,4.6,19.5,2.6
Miami Heat,46,36,0.561,48.2,110.1,39.8,85.6,46.5,12.5,33.7,37,18,22,81.8,9.3,33,42.3,25.8,12.7,7.5,3.4,17.3,1.8
Sacramento Kings,46,36,0.561,48.4,116.6,43.3,90.9,47.7,14.4,39.3,36.6,15.5,20.9,74.5,10.8,33.2,44,28.3,13.1,7.6,4.2,19.9,1.7
Houston Rockets,41,41,0.5,48.4,114.3,41.8,91,45.9,12.7,36.1,35.2,18.1,23.4,77.3,11.5,34,45.5,24.8,12.7,7.8,4.6,20.8,1.1
